product_id,product_name,category,week_start_date,weekly_sales,closing_stock,unit_price_inr,reorder_point,lead_time,order_cost,holding_cost
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-01-01,15,104,153.8579,47,8,20.0,38.4645
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-01-08,6,235,170.8615,62,6,20.0,42.7154
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-01-15,9,238,127.4181,38,9,20.0,31.8545
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-01-22,9,75,134.692,54,7,20.0,33.673
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-01-29,7,96,191.4664,59,9,20.0,47.8666
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-02-05,6,126,31.4299,42,6,20.0,7.8575
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-02-12,8,466,135.8453,60,11,20.0,33.9613
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-02-19,3,395,138.2321,28,10,20.0,34.558
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-02-26,18,246,114.8082,36,11,20.0,28.702
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-03-04,7,412,112.6262,67,13,20.0,28.1565
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-03-11,4,284,156.3756,62,6,20.0,39.0939
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-03-18,11,446,181.1953,58,11,20.0,45.2988
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-03-25,21,439,169.2432,53,6,20.0,42.3108
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-04-01,14,277,180.9506,75,8,20.0,45.2376
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-04-08,25,184,79.3186,50,6,20.0,19.8297
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-04-15,16,149,181.3147,48,10,20.0,45.3287
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-04-22,10,290,215.5932,66,8,20.0,53.8983
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-04-29,24,241,148.7167,64,10,20.0,37.1792
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-05-06,4,392,72.2442,63,10,20.0,18.0611
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-05-13,27,52,128.5489,56,9,20.0,32.1372
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-05-20,15,425,58.6482,37,6,20.0,14.6621
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-05-27,9,248,150.2797,53,6,20.0,37.5699
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-06-03,8,399,139.9132,40,9,20.0,34.9783
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-06-10,8,128,202.8004,49,8,20.0,50.7001
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-06-17,22,142,132.0767,48,8,20.0,33.0192
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-06-24,22,440,138.3496,54,7,20.0,34.5874
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-07-01,2,470,102.9961,52,7,20.0,25.749
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-07-08,11,482,171.8957,76,10,20.0,42.9739
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-07-15,12,249,113.4468,32,8,20.0,28.3617
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-07-22,17,208,134.6689,64,10,20.0,33.6672
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-07-29,6,338,263.6919,56,8,20.0,65.923
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-08-05,3,454,109.0636,38,14,20.0,27.2659
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-08-12,20,369,106.1606,32,10,20.0,26.5402
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-08-19,11,246,87.4367,77,8,20.0,21.8592
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-08-26,9,155,107.7477,28,3,20.0,26.9369
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-09-02,12,109,138.1493,54,12,20.0,34.5373
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-09-09,7,392,170.5927,48,4,20.0,42.6482
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-09-16,5,72,129.1322,64,7,20.0,32.2831
AHMEDABAD_AMUL_BEVERAGES,Amul Tru Mango 200ml,Beverages,2024-09-23,11,245,87.5761,71,14,20.0,21.894
